"# Scene 1: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 2: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 3: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 4: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 5: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 6: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 7: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 8: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 9: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 10: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Lion is large-sized, with golden fur, and has a majestic mane along with deep, expressive eyes."
"# Scene 11: Junhee is female and 24 years old with long black hair, fair skin, a slender body figure, and a green dress with floral patterns. Forest creatures include a variety of small animals such as rabbits, deer, and birds, all with colorful and detailed features."
